experiment,scenario_label,scenario,site_type,demand_regime,capacity_pct,n_slots_home,n_slots_work,n_slots_public,seed,policy,family,reliability_pct,failure_count,mandatory_events,urgent_trip_reliability_pct,urgent_trip_failure_count,urgent_trip_events,delivered_kwh_per_vehicle,total_delivered_kwh,peak_demand_kw,mean_demand_kw,coincidence_factor,peak_to_average_ratio,load_factor,line_loss_proxy_kw2h,capacity_kw_proxy,overload_hours_proxy,p95_wait_minutes,mean_wait_minutes,max_queue_length,mean_queue_length,queue_abandonments_location_total,queue_abandonments_timeout_total,action_counts,idle_action_count,normal_request_action_count,flexible_request_action_count,other_action_count,idle_action_share,normal_request_action_share,flexible_request_action_share,cheap_window_request_share,charge_above_target_request_share,claim_boundary,request_count,admitted_count,requested_not_delivered_count,critical_request_count,critical_request_served_count,critical_request_missed_count,optional_request_count,optional_request_served_count,optional_request_missed_count,critical_requested_not_delivered_count,flexible_requested_not_delivered_count,scarce_hour_count,scarce_request_count,scarce_unserved_count,oversubscription_vehicle_steps,queue_rejection_count,cheap_window_request_count,charge_above_target_request_count,low_laxity_missed_charge_count,horizon_hours,driver_behavior,fleet_policy,grid_policy,multi_actor_description,energy_cost_usd,ramp_p95_kw,demand_charge_exposure_usd_month_25,delivered_ratio_vs_ll,peak_ratio_vs_ll,critical_rnd_delta_vs_ll,oversub_delta_vs_ll,reliability_delta_vs_ll_pp,p95_wait_delta_vs_ll_min,energy_matched_1pct,energy_matched_2pct,service_gate_pass,classification,anchor_policy,driver_service_pass,fleet_queue_pass,fleet_cost_pass,fleet_operation_pass,grid_peak_pass,grid_shape_pass,grid_pass,all_pass,final_acceptability_class,actor_failure_pattern,first_failed_layer,requested_not_delivered_delta_vs_anchor,mean_queue_delta_vs_anchor,max_queue_delta_vs_anchor,energy_cost_ratio_vs_anchor,energy_cost_delta_usd_vs_anchor,demand_charge_ratio_vs_anchor,demand_charge_delta_usd_month_25_vs_anchor,peak_to_average_ratio_vs_anchor,ramp_p95_ratio_vs_anchor,load_factor_delta_vs_anchor,squared_load_proxy_ratio_vs_anchor,mean_compliance_probability,noncompliance_share,fleet_recommended_request_count,grid_adjusted_request_count,actual_request_count_driver_layer,grid_deferred_request_count,queue_high_timesteps,queue_avoidance_count,cheap_window_actual_request_share,dev_target,dev_realized
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4541,D_Severity1Mild__F_ServiceFirst__G_NoGrid,multi_actor,94.24626006904488,50,869,94.24626006904488,50,869,45.890212009310815,3671.2169607448654,198.0,36.63690476190476,5.404386677497969,5.404386677497969,0.18503487253487252,467561.0,129.6,4,0.0,0.0,14,0.0,0,0,"[12874, 0, 566, 0]",12874,566,0,0,0.9578869047619047,0.04211309523809524,0.0,0.27385159010600707,0.0,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",566,566,0,4410,513,3897,57,53,4,0,0,0,0,0,0,0,155,0,3897,168,Severity1Mild,FleetServiceFirst,NoGridIncentive,Response-surface deviation driver FleetServiceFirst NoGridIncentive.,1051799.0908277782,71.0,4950.0,1.0,1.0,0,0,0.0,0.0,True,True,True,service-tolerated,LeastLaxity,True,True,True,True,True,True,True,True,mutually_acceptable,all_pass,none,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,566.0,566.0,566.0,0.0,0.0,0.0,0.27385159010600707,0.0,0.0
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4541,D_Severity1Mild__F_ServiceFirst__G_PeakPenalty,multi_actor,94.24626006904488,50,869,94.24626006904488,50,869,45.890212009310815,3671.2169607448654,170.0,36.63690476190476,4.64012997562957,4.64012997562957,0.2155112044817927,448171.0,129.6,4,0.0,0.0,10,0.0,0,0,"[12874, 0, 566, 0]",12874,566,0,0,0.9578869047619047,0.04211309523809524,0.0,0.26855123674911663,0.0,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",566,566,0,4410,513,3897,57,53,4,0,0,0,0,0,0,0,152,0,3897,168,Severity1Mild,FleetServiceFirst,GridPeakPenalty,Response-surface deviation driver FleetServiceFirst GridPeakPenalty.,1054113.8015878922,71.0,4250.0,1.0,0.8585858585858586,0,0,0.0,0.0,True,True,True,service-tolerated,LeastLaxity,True,True,True,True,True,True,True,True,mutually_acceptable,all_pass,none,0.0,0.0,-4.0,1.0022007156882902,2314.710760114016,0.8585858585858586,-700.0,0.8585858585858587,1.0,0.030476331946920177,0.9585294752984103,1.0,0.0,583.0,566.0,566.0,17.0,0.0,0.0,0.26855123674911663,0.0,0.0
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4541,D_Severity1Mild__F_ServiceGridWeighted__G_NoGrid,multi_actor,94.24626006904488,50,869,94.24626006904488,50,869,45.84866238329116,3667.892990663293,198.0,36.595238095238095,5.410540013012362,5.410540013012362,0.18482443482443484,467022.0,129.6,4,0.0,0.0,14,0.0,0,0,"[12875, 0, 565, 0]",12875,565,0,0,0.9579613095238095,0.04203869047619048,0.0,0.27964601769911507,0.0,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",565,565,0,4410,513,3897,68,52,16,0,0,0,0,0,0,0,158,0,3897,168,Severity1Mild,FleetServiceGridWeighted,NoGridIncentive,Response-surface deviation driver FleetServiceGridWeighted NoGridIncentive.,1041873.1179911199,68.89999999999992,4950.0,0.9990945863137172,1.0,0,0,0.0,0.0,True,True,True,service-tolerated,LeastLaxity,True,True,True,True,True,True,True,True,mutually_acceptable,all_pass,none,0.0,0.0,0.0,0.9905628623154195,-9925.972836658359,1.0,0.0,1.00113858165257,0.9704225352112665,-0.00021043771043768866,0.9988472092411471,1.0,0.0,565.0,565.0,565.0,0.0,0.0,0.0,0.27964601769911507,0.0,0.0
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4541,D_Severity1Mild__F_ServiceGridWeighted__G_PeakPenalty,multi_actor,94.24626006904488,50,869,94.24626006904488,50,869,45.84866238329116,3667.892990663293,170.0,36.595238095238095,4.645413142485361,4.645413142485361,0.21526610644257702,447632.0,129.6,4,0.0,0.0,10,0.0,0,0,"[12875, 0, 565, 0]",12875,565,0,0,0.9579613095238095,0.04203869047619048,0.0,0.2743362831858407,0.0,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",565,565,0,4410,513,3897,68,52,16,0,0,0,0,0,0,0,155,0,3897,168,Severity1Mild,FleetServiceGridWeighted,GridPeakPenalty,Response-surface deviation driver FleetServiceGridWeighted GridPeakPenalty.,1044187.8287512339,68.89999999999992,4250.0,0.9990945863137172,0.8585858585858586,0,0,0.0,0.0,True,True,True,service-tolerated,LeastLaxity,True,True,True,True,True,True,True,True,mutually_acceptable,all_pass,none,0.0,0.0,-4.0,0.9927635780037096,-7611.262076544343,0.8585858585858586,-700.0,0.8595634286916004,0.9704225352112665,0.03023123390770449,0.9573766845395574,1.0,0.0,582.0,565.0,565.0,17.0,0.0,0.0,0.2743362831858407,0.0,0.0
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4542,D_Severity1Mild__F_ServiceFirst__G_NoGrid,multi_actor,95.30892448512586,41,874,95.30892448512586,41,874,51.934699614904844,4154.7759691923875,198.0,46.839285714285715,4.227220739611132,4.227220739611132,0.23656204906204906,673281.0,129.6,5,0.0,0.0,14,0.0,0,0,"[12795, 0, 645, 0]",12795,645,0,0,0.9520089285714286,0.04799107142857143,0.0,0.2930232558139535,0.0,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",645,645,0,5153,589,4564,59,56,3,0,0,0,0,0,0,0,189,0,4564,168,Severity1Mild,FleetServiceFirst,NoGridIncentive,Response-surface deviation driver FleetServiceFirst NoGridIncentive.,1160288.2407456413,74.49999999999983,4950.0,1.0,1.0,0,0,0.0,0.0,True,True,True,service-tolerated,LeastLaxity,True,True,True,True,True,True,True,True,mutually_acceptable,all_pass,none,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,645.0,645.0,645.0,0.0,0.0,0.0,0.2930232558139535,0.0,0.0
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4542,D_Severity1Mild__F_ServiceFirst__G_PeakPenalty,multi_actor,95.30892448512586,41,874,95.30892448512586,41,874,51.934699614904844,4154.7759691923875,170.0,46.839285714285715,3.6294319481509723,3.6294319481509723,0.27552521008403363,644441.0,129.6,5,0.0,0.0,10,0.0,0,0,"[12795, 0, 645, 0]",12795,645,0,0,0.9520089285714286,0.04799107142857143,0.0,0.2775193798449612,0.0,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",645,645,0,5153,589,4564,59,56,3,0,0,0,0,0,0,0,179,0,4564,168,Severity1Mild,FleetServiceFirst,GridPeakPenalty,Response-surface deviation driver FleetServiceFirst GridPeakPenalty.,1168843.6198136057,74.49999999999983,4250.0,1.0,0.8585858585858586,0,0,0.0,0.0,True,True,True,service-tolerated,LeastLaxity,True,True,True,True,True,True,True,True,mutually_acceptable,all_pass,none,0.0,0.0,-4.0,1.0073734945917114,8555.379067964386,0.8585858585858586,-700.0,0.8585858585858586,1.0,0.03896316102198458,0.9571649875757671,1.0,0.0,667.0,645.0,645.0,22.0,0.0,0.0,0.2775193798449612,0.0,0.0
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4542,D_Severity1Mild__F_ServiceGridWeighted__G_NoGrid,multi_actor,95.30892448512586,41,874,95.30892448512586,41,874,51.934699614904844,4154.7759691923875,198.0,46.839285714285715,4.227220739611132,4.227220739611132,0.23656204906204906,672679.0,129.6,5,0.0,0.0,14,0.0,0,0,"[12795, 0, 645, 0]",12795,645,0,0,0.9520089285714286,0.04799107142857143,0.0,0.29767441860465116,0.0,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",645,645,0,5153,591,4562,78,54,24,0,0,0,0,0,0,0,192,0,4562,168,Severity1Mild,FleetServiceGridWeighted,NoGridIncentive,Response-surface deviation driver FleetServiceGridWeighted NoGridIncentive.,1152062.0667165015,76.59999999999991,4950.0,1.0,1.0,0,0,0.0,0.0,True,True,True,service-tolerated,LeastLaxity,True,True,True,True,True,True,True,True,mutually_acceptable,all_pass,none,0.0,0.0,0.0,0.9929102323541146,-8226.174029139802,1.0,0.0,1.0,1.0281879194630883,0.0,0.9991058710998825,1.0,0.0,645.0,645.0,645.0,0.0,0.0,0.0,0.29767441860465116,0.0,0.0
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4542,D_Severity1Mild__F_ServiceGridWeighted__G_PeakPenalty,multi_actor,95.30892448512586,41,874,95.30892448512586,41,874,51.934699614904844,4154.7759691923875,170.0,46.839285714285715,3.6294319481509723,3.6294319481509723,0.27552521008403363,643839.0,129.6,5,0.0,0.0,10,0.0,0,0,"[12795, 0, 645, 0]",12795,645,0,0,0.9520089285714286,0.04799107142857143,0.0,0.28217054263565894,0.0,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",645,645,0,5153,591,4562,78,54,24,0,0,0,0,0,0,0,182,0,4562,168,Severity1Mild,FleetServiceGridWeighted,GridPeakPenalty,Response-surface deviation driver FleetServiceGridWeighted GridPeakPenalty.,1160617.4457844659,76.59999999999991,4250.0,1.0,0.8585858585858586,0,0,0.0,0.0,True,True,True,service-tolerated,LeastLaxity,True,True,True,True,True,True,True,True,mutually_acceptable,all_pass,none,0.0,0.0,-4.0,1.000283726945826,329.20503882458434,0.8585858585858586,-700.0,0.8585858585858586,1.0281879194630883,0.03896316102198458,0.9562708586756495,1.0,0.0,667.0,645.0,645.0,22.0,0.0,0.0,0.28217054263565894,0.0,0.0
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4543,D_Severity1Mild__F_ServiceFirst__G_NoGrid,multi_actor,95.08393285371703,41,834,95.08393285371703,41,834,45.28264713233513,3622.61177058681,198.0,37.67261904761905,5.255806604518881,5.255806604518881,0.19026575276575278,514071.0,129.6,6,0.0,0.0,14,0.0,0,0,"[12886, 0, 554, 0]",12886,554,0,0,0.9587797619047619,0.041220238095238095,0.0,0.2815884476534296,0.0,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",554,554,0,4395,492,3903,63,62,1,0,0,0,0,0,0,0,156,0,3903,168,Severity1Mild,FleetServiceFirst,NoGridIncentive,Response-surface deviation driver FleetServiceFirst NoGridIncentive.,1058722.721360476,84.29999999999967,4950.0,1.0,1.0,0,0,0.0,0.0,True,True,True,service-tolerated,LeastLaxity,True,True,True,True,True,True,True,True,mutually_acceptable,all_pass,none,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,554.0,554.0,554.0,0.0,0.0,0.0,0.2815884476534296,0.0,0.0
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4543,D_Severity1Mild__F_ServiceFirst__G_PeakPenalty,multi_actor,95.08393285371703,41,834,95.08393285371703,41,834,45.28264713233513,3622.61177058681,177.0,37.67261904761905,4.6983725707062725,4.6983725707062725,0.21283965563626583,499371.0,129.6,6,0.0,0.0,10,0.0,0,0,"[12886, 0, 554, 0]",12886,554,0,0,0.9587797619047619,0.041220238095238095,0.0,0.2815884476534296,0.0,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",554,554,0,4395,492,3903,63,62,1,0,0,0,0,0,0,0,156,0,3903,168,Severity1Mild,FleetServiceFirst,GridPeakPenalty,Response-surface deviation driver FleetServiceFirst GridPeakPenalty.,1058722.721360476,84.29999999999967,4425.0,1.0,0.8939393939393939,0,0,0.0,0.0,True,True,True,service-tolerated,LeastLaxity,True,True,True,True,True,True,True,True,mutually_acceptable,all_pass,none,0.0,0.0,-4.0,1.0,0.0,0.8939393939393939,-525.0,0.8939393939393939,1.0,0.022573902870513057,0.9714047281406654,1.0,0.0,570.0,554.0,554.0,16.0,0.0,0.0,0.2815884476534296,0.0,0.0
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4543,D_Severity1Mild__F_ServiceGridWeighted__G_NoGrid,multi_actor,95.08393285371703,41,834,95.08393285371703,41,834,45.28264713233513,3622.61177058681,198.0,37.67261904761905,5.255806604518881,5.255806604518881,0.19026575276575278,508371.0,129.6,6,0.0,0.0,14,0.0,0,0,"[12886, 0, 554, 0]",12886,554,0,0,0.9587797619047619,0.041220238095238095,0.0,0.2851985559566787,0.0,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",554,554,0,4395,493,3902,71,61,10,0,0,0,0,0,0,0,158,0,3902,168,Severity1Mild,FleetServiceGridWeighted,NoGridIncentive,Response-surface deviation driver FleetServiceGridWeighted NoGridIncentive.,1053434.7491339375,61.89999999999992,4950.0,1.0,1.0,0,0,0.0,0.0,True,True,True,service-tolerated,LeastLaxity,True,True,True,True,True,True,True,True,mutually_acceptable,all_pass,none,0.0,0.0,0.0,0.9950053284775608,-5287.972226538463,1.0,0.0,1.0,0.734282325029658,0.0,0.9889120374422988,1.0,0.0,554.0,554.0,554.0,0.0,0.0,0.0,0.2851985559566787,0.0,0.0
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4543,D_Severity1Mild__F_ServiceGridWeighted__G_PeakPenalty,multi_actor,95.08393285371703,41,834,95.08393285371703,41,834,45.28264713233513,3622.61177058681,177.0,37.67261904761905,4.6983725707062725,4.6983725707062725,0.21283965563626583,493671.0,129.6,6,0.0,0.0,10,0.0,0,0,"[12886, 0, 554, 0]",12886,554,0,0,0.9587797619047619,0.041220238095238095,0.0,0.2851985559566787,0.0,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",554,554,0,4395,493,3902,71,61,10,0,0,0,0,0,0,0,158,0,3902,168,Severity1Mild,FleetServiceGridWeighted,GridPeakPenalty,Response-surface deviation driver FleetServiceGridWeighted GridPeakPenalty.,1053434.7491339375,61.89999999999992,4425.0,1.0,0.8939393939393939,0,0,0.0,0.0,True,True,True,service-tolerated,LeastLaxity,True,True,True,True,True,True,True,True,mutually_acceptable,all_pass,none,0.0,0.0,-4.0,0.9950053284775608,-5287.972226538463,0.8939393939393939,-525.0,0.8939393939393939,0.734282325029658,0.022573902870513057,0.9603167655829642,1.0,0.0,570.0,554.0,554.0,16.0,0.0,0.0,0.2851985559566787,0.0,0.0
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4544,D_Severity1Mild__F_ServiceFirst__G_NoGrid,multi_actor,96.13583138173301,33,854,96.13583138173301,33,854,55.71475725224591,4457.180580179673,205.0,51.398809523809526,3.988419224088014,3.988419224088014,0.25072590011614404,838943.0,129.6,18,0.0,0.0,14,0.0,0,0,"[12747, 0, 693, 0]",12747,693,0,0,0.9484375,0.0515625,0.0,0.2842712842712843,0.0,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",693,693,0,5290,635,4655,63,58,5,0,0,0,0,0,0,0,197,0,4655,168,Severity1Mild,FleetServiceFirst,NoGridIncentive,Response-surface deviation driver FleetServiceFirst NoGridIncentive.,1255058.8194903517,86.39999999999975,5125.0,1.0,1.0,0,0,0.0,0.0,True,True,True,service-tolerated,LeastLaxity,True,True,True,True,True,True,True,True,mutually_acceptable,all_pass,none,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,693.0,693.0,693.0,0.0,0.0,0.0,0.2842712842712843,0.0,0.0
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4544,D_Severity1Mild__F_ServiceFirst__G_PeakPenalty,multi_actor,96.13583138173301,33,854,96.13583138173301,33,854,55.71475725224591,4457.180580179673,177.0,51.31547619047619,3.4492518269342303,3.4492518269342303,0.28991794457896153,805693.0,129.6,18,0.0,0.0,10,0.0,0,0,"[12749, 0, 691, 0]",12749,691,0,0,0.9485863095238095,0.051413690476190474,0.0,0.2575976845151954,0.0,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",691,691,0,5290,634,4656,62,57,5,0,0,0,0,0,0,0,178,0,4656,168,Severity1Mild,FleetServiceFirst,GridPeakPenalty,Response-surface deviation driver FleetServiceFirst GridPeakPenalty.,1270415.844676407,86.39999999999975,4425.0,1.0,0.8634146341463415,0,0,0.0,0.0,True,True,True,service-tolerated,LeastLaxity,True,True,True,True,True,True,True,True,mutually_acceptable,all_pass,none,0.0,0.0,-4.0,1.0122360999720248,15357.02518605534,0.8634146341463415,-700.0,0.8648167690353391,1.0,0.03919204446281749,0.9603667948835618,1.0,0.0,715.0,691.0,691.0,24.0,0.0,0.0,0.2575976845151954,0.0,0.0
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4544,D_Severity1Mild__F_ServiceGridWeighted__G_NoGrid,multi_actor,96.13583138173301,33,854,96.13583138173301,33,854,55.71475725224591,4457.180580179673,205.0,51.398809523809526,3.988419224088014,3.988419224088014,0.25072590011614404,835751.0,129.6,18,0.0,0.0,14,0.0,0,0,"[12747, 0, 693, 0]",12747,693,0,0,0.9484375,0.0515625,0.0,0.2886002886002886,0.0,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",693,693,0,5290,636,4654,83,57,26,0,0,0,0,0,0,0,200,0,4654,168,Severity1Mild,FleetServiceGridWeighted,NoGridIncentive,Response-surface deviation driver FleetServiceGridWeighted NoGridIncentive.,1248138.0843155936,86.39999999999975,5125.0,1.0,1.0,0,0,0.0,0.0,True,True,True,service-tolerated,LeastLaxity,True,True,True,True,True,True,True,True,mutually_acceptable,all_pass,none,0.0,0.0,0.0,0.9944857284238132,-6920.735174758127,1.0,0.0,1.0,1.0,0.0,0.9961952123088219,1.0,0.0,693.0,693.0,693.0,0.0,0.0,0.0,0.2886002886002886,0.0,0.0
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4544,D_Severity1Mild__F_ServiceGridWeighted__G_PeakPenalty,multi_actor,96.13583138173301,33,854,96.13583138173301,33,854,55.71475725224591,4457.180580179673,177.0,51.31547619047619,3.4492518269342303,3.4492518269342303,0.28991794457896153,802501.0,129.6,18,0.0,0.0,10,0.0,0,0,"[12749, 0, 691, 0]",12749,691,0,0,0.9485863095238095,0.051413690476190474,0.0,0.2619392185238784,0.0,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",691,691,0,5290,635,4655,82,56,26,0,0,0,0,0,0,0,181,0,4655,168,Severity1Mild,FleetServiceGridWeighted,GridPeakPenalty,Response-surface deviation driver FleetServiceGridWeighted GridPeakPenalty.,1263495.1095016487,86.39999999999975,4425.0,1.0,0.8634146341463415,0,0,0.0,0.0,True,True,True,service-tolerated,LeastLaxity,True,True,True,True,True,True,True,True,mutually_acceptable,all_pass,none,0.0,0.0,-4.0,1.006721828395838,8436.29001129698,0.8634146341463415,-700.0,0.8648167690353391,1.0,0.03919204446281749,0.9565620071923837,1.0,0.0,715.0,691.0,691.0,24.0,0.0,0.0,0.2619392185238784,0.0,0.0
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4545,D_Severity1Mild__F_ServiceFirst__G_NoGrid,multi_actor,95.9862385321101,35,872,95.9862385321101,35,872,54.16518105359853,4333.214484287882,198.0,45.30357142857143,4.370516357903035,4.370516357903035,0.22880591630591632,646163.0,129.6,5,0.0,0.0,14,0.0,0,0,"[12752, 0, 688, 0]",12752,688,0,0,0.9488095238095238,0.05119047619047619,0.0,0.2747093023255814,0.0,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",688,688,0,5428,618,4810,71,70,1,0,0,0,0,0,0,0,189,0,4810,168,Severity1Mild,FleetServiceFirst,NoGridIncentive,Response-surface deviation driver FleetServiceFirst NoGridIncentive.,1271281.7017237851,64.0,4950.0,1.0,1.0,0,0,0.0,0.0,True,True,True,service-tolerated,LeastLaxity,True,True,True,True,True,True,True,True,mutually_acceptable,all_pass,none,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,688.0,688.0,688.0,0.0,0.0,0.0,0.2747093023255814,0.0,0.0
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4545,D_Severity1Mild__F_ServiceFirst__G_PeakPenalty,multi_actor,95.9862385321101,35,872,95.9862385321101,35,872,54.16518105359853,4333.214484287882,170.0,45.26190476190476,3.755917937927407,3.755917937927407,0.2662464985994398,623980.0,129.6,5,0.0,0.0,10,0.0,0,0,"[12753, 0, 687, 0]",12753,687,0,0,0.9488839285714286,0.05111607142857143,0.0,0.24890829694323144,0.0,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",687,687,0,5428,616,4812,72,71,1,0,0,0,0,0,0,0,171,0,4812,168,Severity1Mild,FleetServiceFirst,GridPeakPenalty,Response-surface deviation driver FleetServiceFirst GridPeakPenalty.,1285940.6322586592,64.0,4250.0,1.0,0.8585858585858586,0,0,0.0,0.0,True,True,True,service-tolerated,LeastLaxity,True,True,True,True,True,True,True,True,mutually_acceptable,all_pass,none,0.0,0.0,-4.0,1.011530827915636,14658.930534874089,0.8585858585858586,-700.0,0.8593762453573082,1.0,0.037440582293523456,0.965669653013249,1.0,0.0,713.0,687.0,687.0,26.0,0.0,0.0,0.24890829694323144,0.0,0.0
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4545,D_Severity1Mild__F_ServiceGridWeighted__G_NoGrid,multi_actor,95.9862385321101,35,872,95.9862385321101,35,872,54.16518105359853,4333.214484287882,198.0,45.30357142857143,4.370516357903035,4.370516357903035,0.22880591630591632,636261.0,129.6,5,0.0,0.0,14,0.0,0,0,"[12752, 0, 688, 0]",12752,688,0,0,0.9488095238095238,0.05119047619047619,0.0,0.27906976744186046,0.0,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",688,688,0,5428,620,4808,90,68,22,0,0,0,0,0,0,0,192,0,4808,168,Severity1Mild,FleetServiceGridWeighted,NoGridIncentive,Response-surface deviation driver FleetServiceGridWeighted NoGridIncentive.,1264400.3820066247,64.0,4950.0,1.0,1.0,0,0,0.0,0.0,True,True,True,service-tolerated,LeastLaxity,True,True,True,True,True,True,True,True,mutually_acceptable,all_pass,none,0.0,0.0,0.0,0.9945871007914062,-6881.319717160426,1.0,0.0,1.0,1.0,0.0,0.9846756932848213,1.0,0.0,688.0,688.0,688.0,0.0,0.0,0.0,0.27906976744186046,0.0,0.0
