experiment,scenario_label,scenario,site_type,demand_regime,capacity_pct,n_slots_home,n_slots_work,n_slots_public,seed,policy,family,reliability_pct,failure_count,mandatory_events,urgent_trip_reliability_pct,urgent_trip_failure_count,urgent_trip_events,delivered_kwh_per_vehicle,total_delivered_kwh,peak_demand_kw,mean_demand_kw,coincidence_factor,peak_to_average_ratio,load_factor,line_loss_proxy_kw2h,capacity_kw_proxy,overload_hours_proxy,p95_wait_minutes,mean_wait_minutes,max_queue_length,mean_queue_length,queue_abandonments_location_total,queue_abandonments_timeout_total,action_counts,idle_action_count,normal_request_action_count,flexible_request_action_count,other_action_count,idle_action_share,normal_request_action_share,flexible_request_action_share,cheap_window_request_share,charge_above_target_request_share,claim_boundary,request_count,admitted_count,requested_not_delivered_count,critical_request_count,critical_request_served_count,critical_request_missed_count,optional_request_count,optional_request_served_count,optional_request_missed_count,critical_requested_not_delivered_count,flexible_requested_not_delivered_count,scarce_hour_count,scarce_request_count,scarce_unserved_count,oversubscription_vehicle_steps,queue_rejection_count,cheap_window_request_count,charge_above_target_request_count,low_laxity_missed_charge_count,horizon_hours,driver_behavior,fleet_policy,grid_policy,multi_actor_description,energy_cost_usd,ramp_p95_kw,demand_charge_exposure_usd_month_25,delivered_ratio_vs_ll,peak_ratio_vs_ll,critical_rnd_delta_vs_ll,oversub_delta_vs_ll,reliability_delta_vs_ll_pp,p95_wait_delta_vs_ll_min,energy_matched_1pct,energy_matched_2pct,service_gate_pass,classification,anchor_policy,driver_service_pass,fleet_queue_pass,fleet_cost_pass,fleet_operation_pass,grid_peak_pass,grid_shape_pass,grid_pass,all_pass,final_acceptability_class,actor_failure_pattern,first_failed_layer,requested_not_delivered_delta_vs_anchor,mean_queue_delta_vs_anchor,max_queue_delta_vs_anchor,energy_cost_ratio_vs_anchor,energy_cost_delta_usd_vs_anchor,demand_charge_ratio_vs_anchor,demand_charge_delta_usd_month_25_vs_anchor,peak_to_average_ratio_vs_anchor,ramp_p95_ratio_vs_anchor,load_factor_delta_vs_anchor,squared_load_proxy_ratio_vs_anchor,mean_compliance_probability,noncompliance_share,fleet_recommended_request_count,grid_adjusted_request_count,actual_request_count_driver_layer,grid_deferred_request_count,queue_high_timesteps,queue_avoidance_count,cheap_window_actual_request_share,dev_target,dev_realized
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4541,D_Severity1Mild__F_EDF__G_NoGrid,multi_actor,93.32566168009207,58,869,93.32566168009207,58,869,45.57521200931082,3646.0169607448656,198.0,36.470238095238095,5.429084380610413,5.429084380610413,0.1841931216931217,466973.0,129.6,4,0.0,0.0,14,0.0,0,0,"[12878, 0, 562, 0]",12878,562,0,0,0.9581845238095238,0.04181547619047619,0.0,0.2722419928825623,0.0,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",562,562,0,4410,511,3899,55,51,4,0,0,0,0,0,0,0,153,0,3899,168,Severity1Mild,FleetServiceFirst,NoGridIncentive,EDF baseline NoGridIncentive,1045360.4908277781,71.0,4950.0,0.9931357911369839,1.0,0,0,-0.9205983889528113,0.0,True,True,False,fragile,LeastLaxity,False,True,True,True,True,True,True,False,not_mutually_acceptable,driver_only_fail,driver,0.0,0.0,0.0,0.9938784887188552,-6438.600000000093,1.0,0.0,1.004569936347315,1.0,-0.0008417508417508379,0.9987424100812514,1.0,0.0,562.0,562.0,562.0,0.0,0.0,0.0,0.2722419928825623,0.0,0.0
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4541,D_Severity1Mild__F_EDF__G_PeakPenalty,multi_actor,93.32566168009207,58,869,93.32566168009207,58,869,45.57521200931082,3646.0169607448656,170.0,36.470238095238095,4.661335074261466,4.661335074261466,0.21453081232492996,447583.0,129.6,4,0.0,0.0,10,0.0,0,0,"[12878, 0, 562, 0]",12878,562,0,0,0.9581845238095238,0.04181547619047619,0.0,0.2669039145907473,0.0,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",562,562,0,4410,511,3899,55,51,4,0,0,0,0,0,0,0,150,0,3899,168,Severity1Mild,FleetServiceFirst,GridPeakPenalty,EDF baseline GridPeakPenalty,1047675.2015878923,71.0,4250.0,0.9931357911369839,0.8585858585858586,0,0,-0.9205983889528113,0.0,True,True,False,fragile,LeastLaxity,False,True,True,True,True,True,True,False,not_mutually_acceptable,driver_only_fail,driver,0.0,0.0,-4.0,0.9960792044071455,-4123.889239885961,0.8585858585858586,-700.0,0.8625095413083008,1.0,0.029495939790057435,0.9572718853796617,1.0,0.0,579.0,562.0,562.0,17.0,0.0,0.0,0.2669039145907473,0.0,0.0
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4542,D_Severity1Mild__F_EDF__G_NoGrid,multi_actor,94.39359267734554,49,874,94.39359267734554,49,874,51.48285735865543,4118.628588692434,198.0,45.904761904761905,4.313278008298755,4.313278008298755,0.23184223184223185,660342.0,129.6,5,0.0,0.0,14,0.0,0,0,"[12799, 0, 641, 0]",12799,641,0,0,0.9523065476190476,0.04769345238095238,0.0,0.28861154446177845,0.0,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",641,641,0,5153,585,4568,59,56,3,0,0,0,0,0,0,0,185,0,4568,168,Severity1Mild,FleetServiceFirst,NoGridIncentive,EDF baseline NoGridIncentive,1157028.8522280185,74.49999999999983,4950.0,0.9912998003338843,1.0,0,0,-0.9153318077803192,0.0,True,True,False,fragile,LeastLaxity,False,True,True,True,True,True,True,False,not_mutually_acceptable,driver_only_fail,driver,0.0,0.0,0.0,0.9971908803320042,-3259.388517622836,1.0,0.0,1.0203578838174274,1.0,-0.004719817219817207,0.9807821697032888,1.0,0.0,641.0,641.0,641.0,0.0,0.0,0.0,0.28861154446177845,0.0,0.0
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4542,D_Severity1Mild__F_EDF__G_PeakPenalty,multi_actor,94.39359267734554,49,874,94.39359267734554,49,874,51.48285735865543,4118.628588692434,170.0,45.904761904761905,3.703319502074689,3.703319502074689,0.2700280112044818,631796.0,129.6,5,0.0,0.0,10,0.0,0,0,"[12799, 0, 641, 0]",12799,641,0,0,0.9523065476190476,0.04769345238095238,0.0,0.27301092043681746,0.0,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",641,641,0,5153,585,4568,59,56,3,0,0,0,0,0,0,0,175,0,4568,168,Severity1Mild,FleetServiceFirst,GridPeakPenalty,EDF baseline GridPeakPenalty,1165437.5951450546,74.49999999999983,4250.0,0.9912998003338843,0.8585858585858586,0,0,-0.9153318077803192,0.0,True,True,False,fragile,LeastLaxity,False,True,True,True,True,True,True,False,not_mutually_acceptable,driver_only_fail,driver,0.0,0.0,-4.0,1.0044379958518792,5149.354399413336,0.8585858585858586,-700.0,0.8760648497422356,1.0,0.03346596214243272,0.9383838248814388,1.0,0.0,663.0,641.0,641.0,22.0,0.0,0.0,0.27301092043681746,0.0,0.0
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4543,D_Severity1Mild__F_EDF__G_NoGrid,multi_actor,94.36450839328538,47,834,94.36450839328538,47,834,45.12514713233513,3610.0117705868106,198.0,37.589285714285715,5.267458432304037,5.267458432304037,0.18984487734487734,513777.0,129.6,6,0.0,0.0,14,0.0,0,0,"[12888, 0, 552, 0]",12888,552,0,0,0.9589285714285715,0.04107142857142857,0.0,0.2826086956521739,0.0,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",552,552,0,4395,491,3904,63,61,2,0,0,0,0,0,0,0,156,0,3904,168,Severity1Mild,FleetServiceFirst,NoGridIncentive,EDF baseline NoGridIncentive,1053649.2960097077,84.29999999999967,4950.0,0.9965218464472778,1.0,0,0,-0.7194244604316538,0.0,True,True,False,fragile,LeastLaxity,False,True,True,True,True,True,True,False,not_mutually_acceptable,driver_only_fail,driver,0.0,0.0,0.0,0.9952079753759806,-5073.425350768259,1.0,0.0,1.0022169437846398,1.0,-0.00042087542087543284,0.9994280945628133,1.0,0.0,552.0,552.0,552.0,0.0,0.0,0.0,0.2826086956521739,0.0,0.0
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4543,D_Severity1Mild__F_EDF__G_PeakPenalty,multi_actor,94.36450839328538,47,834,94.36450839328538,47,834,45.12514713233513,3610.0117705868106,177.0,37.589285714285715,4.708788598574822,4.708788598574822,0.2123688458434221,499077.0,129.6,6,0.0,0.0,10,0.0,0,0,"[12888, 0, 552, 0]",12888,552,0,0,0.9589285714285715,0.04107142857142857,0.0,0.2826086956521739,0.0,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",552,552,0,4395,491,3904,63,61,2,0,0,0,0,0,0,0,156,0,3904,168,Severity1Mild,FleetServiceFirst,GridPeakPenalty,EDF baseline GridPeakPenalty,1053649.2960097077,84.29999999999967,4425.0,0.9965218464472778,0.8939393939393939,0,0,-0.7194244604316538,0.0,True,True,False,fragile,LeastLaxity,False,True,True,True,True,True,True,False,not_mutually_acceptable,driver_only_fail,driver,0.0,0.0,-4.0,0.9952079753759806,-5073.425350768259,0.8939393939393939,-525.0,0.8959212073226326,1.0,0.022103093077669334,0.9708328227034787,1.0,0.0,568.0,552.0,552.0,16.0,0.0,0.0,0.2826086956521739,0.0,0.0
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4544,D_Severity1Mild__F_EDF__G_NoGrid,multi_actor,95.08196721311475,42,854,95.08196721311475,42,854,55.29552916540738,4423.64233323259,205.0,51.19047619047619,4.004651162790697,4.004651162790697,0.2497096399535424,837214.0,129.6,18,0.0,0.0,14,0.0,0,0,"[12752, 0, 688, 0]",12752,688,0,0,0.9488095238095238,0.05119047619047619,0.0,0.28488372093023256,0.0,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",688,688,0,5290,630,4660,63,58,5,0,0,0,0,0,0,0,196,0,4660,168,Severity1Mild,FleetServiceFirst,NoGridIncentive,EDF baseline NoGridIncentive,1245040.3302854677,86.39999999999975,5125.0,0.9924754569971382,1.0,0,0,-1.0538641686182615,0.0,True,True,False,fragile,LeastLaxity,False,True,True,True,True,True,True,False,not_mutually_acceptable,driver_only_fail,driver,0.0,0.0,0.0,0.9920175141998904,-10018.489204884041,1.0,0.0,1.0040697674418604,1.0,-0.0010162601626016454,0.9979390733339452,1.0,0.0,688.0,688.0,688.0,0.0,0.0,0.0,0.28488372093023256,0.0,0.0
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4544,D_Severity1Mild__F_EDF__G_PeakPenalty,multi_actor,95.08196721311475,42,854,95.08196721311475,42,854,55.29552916540738,4423.64233323259,177.0,51.107142857142854,3.4633123689727467,3.4633123689727467,0.28874092009685226,803964.0,129.6,18,0.0,0.0,10,0.0,0,0,"[12754, 0, 686, 0]",12754,686,0,0,0.9489583333333333,0.051041666666666666,0.0,0.25801749271137026,0.0,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",686,686,0,5290,629,4661,62,57,5,0,0,0,0,0,0,0,177,0,4661,168,Severity1Mild,FleetServiceFirst,GridPeakPenalty,EDF baseline GridPeakPenalty,1260184.2908178521,86.39999999999975,4425.0,0.9924754569971382,0.8634146341463415,0,0,-1.0538641686182615,0.0,True,True,False,fragile,LeastLaxity,False,True,True,True,True,True,True,False,not_mutually_acceptable,driver_only_fail,driver,0.0,0.0,-4.0,1.0040838494960593,5125.471327500418,0.8634146341463415,-700.0,0.868342111094067,1.0,0.03801501998070822,0.9583058682175071,1.0,0.0,710.0,686.0,686.0,24.0,0.0,0.0,0.25801749271137026,0.0,0.0
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4545,D_Severity1Mild__F_EDF__G_NoGrid,multi_actor,95.9862385321101,35,872,95.9862385321101,35,872,53.92893105359853,4314.314484287883,198.0,45.17857142857143,4.3826086956521735,4.3826086956521735,0.2281746031746032,644826.0,129.6,5,0.0,0.0,14,0.0,0,0,"[12755, 0, 685, 0]",12755,685,0,0,0.9490327380952381,0.050967261904761904,0.0,0.27445255474452557,0.0,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",685,685,0,5428,615,4813,71,70,1,0,0,0,0,0,0,0,188,0,4813,168,Severity1Mild,FleetServiceFirst,NoGridIncentive,EDF baseline NoGridIncentive,1265460.501723785,64.0,4950.0,0.9956383419125615,1.0,0,0,0.0,0.0,True,True,True,service-tolerated,LeastLaxity,True,True,True,True,True,True,True,True,mutually_acceptable,all_pass,none,0.0,0.0,0.0,0.9954209991443226,-5821.200000000186,1.0,0.0,1.0027667984189723,1.0,-0.0006313131313131215,0.9979308626461125,1.0,0.0,685.0,685.0,685.0,0.0,0.0,0.0,0.27445255474452557,0.0,0.0
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4545,D_Severity1Mild__F_EDF__G_PeakPenalty,multi_actor,95.9862385321101,35,872,95.9862385321101,35,872,53.85018105359853,4308.014484287883,170.0,45.095238095238095,3.7697993664202745,3.7697993664202745,0.26526610644257703,622006.0,129.6,5,0.0,0.0,10,0.0,0,0,"[12757, 0, 683, 0]",12757,683,0,0,0.9491815476190476,0.05081845238095238,0.0,0.24597364568081992,0.0,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",683,683,0,5428,612,4816,72,71,1,0,0,0,0,0,0,0,168,0,4816,168,Severity1Mild,FleetServiceFirst,GridPeakPenalty,EDF baseline GridPeakPenalty,1280384.0322586591,64.0,4250.0,0.9941844558834153,0.8585858585858586,0,0,0.0,0.0,True,True,True,service-tolerated,LeastLaxity,True,True,True,True,True,True,True,True,mutually_acceptable,all_pass,none,0.0,0.0,-4.0,1.0071599634624897,9102.330534873996,0.8585858585858586,-700.0,0.8625523983232537,1.0,0.036460190136660714,0.9626146962918025,1.0,0.0,709.0,683.0,683.0,26.0,0.0,0.0,0.24597364568081992,0.0,0.0
multi_actor_v2,multi_actor_v2_caltech_sce_cap35,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,35,14,2,2,4541,D_Severity1Mild__F_EDF__G_NoGrid,multi_actor,93.09551208285386,60,869,93.09551208285386,60,869,45.33415636908419,3626.732509526735,198.0,38.63095238095238,5.125423728813559,5.125423728813559,0.1951058201058201,494482.0,129.6,4,0.0,2.25,14,0.017857142857142856,0,0,"[12862, 0, 541, 37]",12862,541,0,37,0.9569940476190476,0.04025297619047619,0.0,0.2750865051903114,0.03460207612456748,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",578,577,14,4410,515,3895,55,51,4,14,0,3,16,4,3,0,159,20,3883,168,Severity1Mild,FleetServiceFirst,NoGridIncentive,EDF baseline NoGridIncentive,1040963.1492135319,64.0,4950.0,0.9878829141143692,1.0,14,3,-1.1507479861910213,0.0,False,True,False,fragile,LeastLaxity,False,True,True,True,True,True,True,False,not_mutually_acceptable,driver_only_fail,driver,14.0,0.017857142857142856,0.0,0.9896977077573642,-10835.941614246345,1.0,0.0,0.948382126348228,0.9014084507042254,0.010070947570947564,1.0575775139500514,0.99375,0.007068452380952381,1120.0,1120.0,1140.0,0.0,3.0,0.0,0.2736842105263158,0.0125,0.0125
