experiment,scenario_label,scenario,site_type,demand_regime,capacity_pct,n_slots_home,n_slots_work,n_slots_public,seed,policy,family,reliability_pct,failure_count,mandatory_events,urgent_trip_reliability_pct,urgent_trip_failure_count,urgent_trip_events,delivered_kwh_per_vehicle,total_delivered_kwh,peak_demand_kw,mean_demand_kw,coincidence_factor,peak_to_average_ratio,load_factor,line_loss_proxy_kw2h,capacity_kw_proxy,overload_hours_proxy,p95_wait_minutes,mean_wait_minutes,max_queue_length,mean_queue_length,queue_abandonments_location_total,queue_abandonments_timeout_total,action_counts,idle_action_count,normal_request_action_count,flexible_request_action_count,other_action_count,idle_action_share,normal_request_action_share,flexible_request_action_share,cheap_window_request_share,charge_above_target_request_share,claim_boundary,request_count,admitted_count,requested_not_delivered_count,critical_request_count,critical_request_served_count,critical_request_missed_count,optional_request_count,optional_request_served_count,optional_request_missed_count,critical_requested_not_delivered_count,flexible_requested_not_delivered_count,scarce_hour_count,scarce_request_count,scarce_unserved_count,oversubscription_vehicle_steps,queue_rejection_count,cheap_window_request_count,charge_above_target_request_count,low_laxity_missed_charge_count,horizon_hours,driver_behavior,fleet_policy,grid_policy,multi_actor_description,energy_cost_usd,ramp_p95_kw,demand_charge_exposure_usd_month_25,delivered_ratio_vs_ll,peak_ratio_vs_ll,critical_rnd_delta_vs_ll,oversub_delta_vs_ll,reliability_delta_vs_ll_pp,p95_wait_delta_vs_ll_min,energy_matched_1pct,energy_matched_2pct,service_gate_pass,classification,anchor_policy,driver_service_pass,fleet_queue_pass,fleet_cost_pass,fleet_operation_pass,grid_peak_pass,grid_shape_pass,grid_pass,all_pass,final_acceptability_class,actor_failure_pattern,first_failed_layer,requested_not_delivered_delta_vs_anchor,mean_queue_delta_vs_anchor,max_queue_delta_vs_anchor,energy_cost_ratio_vs_anchor,energy_cost_delta_usd_vs_anchor,demand_charge_ratio_vs_anchor,demand_charge_delta_usd_month_25_vs_anchor,peak_to_average_ratio_vs_anchor,ramp_p95_ratio_vs_anchor,load_factor_delta_vs_anchor,squared_load_proxy_ratio_vs_anchor,mean_compliance_probability,noncompliance_share,fleet_recommended_request_count,grid_adjusted_request_count,actual_request_count_driver_layer,grid_deferred_request_count,queue_high_timesteps,queue_avoidance_count,cheap_window_actual_request_share,severity_level,severity_label,service_family_decision,actual_to_fleet_request_ratio
multi_actor_v2,multi_actor_v2_caltech_sce_cap20,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,20,8,1,1,4541,LeastLaxity,anchor,86.88147295742232,114,869,86.88147295742232,114,869,34.8790841631077,2790.326733048616,113.0,30.636904761904763,3.6883621527103165,3.6883621527103165,0.27112305099030765,312811.0,72.0,17,0.0,0.0,8,0.0,0,0,"[13018, 0, 422, 0]",13018,422,0,0,0.9686011904761904,0.03139880952380952,0.0,0.28199052132701424,0.0,"Behavior Applied Energy package v1; behavior proxies are imposed perturbations, not measured traits.",422,422,0,4415,373,4042,57,49,8,0,0,0,0,0,0,0,119,0,4042,168,FullyCompliant,FleetServiceFirst,NoGridIncentive,LeastLaxity anchor used for paired thresholds.,791698.2073556263,54.89999999999992,2825.0,1.0,1.0,0,0,0.0,0.0,True,True,True,anchor,LeastLaxity,True,True,True,True,True,True,True,True,mutually_acceptable,all_pass,none,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,,,,comparator,ServiceFirst/Balanced merged family,
multi_actor_v2,multi_actor_v2_caltech_sce_cap20,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,20,8,1,1,4541,D_Severity0Full__F_ServiceFirst__G_NoGrid,multi_actor,86.88147295742232,114,869,86.88147295742232,114,869,34.8790841631077,2790.326733048616,113.0,30.636904761904763,3.6883621527103165,3.6883621527103165,0.27112305099030765,312811.0,72.0,17,0.0,0.0,8,0.0,0,0,"[13018, 0, 422, 0]",13018,422,0,0,0.9686011904761904,0.03139880952380952,0.0,0.28199052132701424,0.0,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",422,422,0,4415,373,4042,57,49,8,0,0,0,0,0,0,0,119,0,4042,168,Severity0Full,FleetServiceFirst,NoGridIncentive,Seed20 multi-actor severity level 0 (full_compliance) with FleetServiceFirst and NoGridIncentive; keep_probability=1.0.,791698.2073556263,54.89999999999992,2825.0,1.0,1.0,0,0,0.0,0.0,True,True,True,service-tolerated,LeastLaxity,True,True,True,True,True,True,True,True,mutually_acceptable,all_pass,none,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,422.0,422.0,422.0,0.0,0.0,0.0,0.28199052132701424,0,full_compliance,ServiceFirst/Balanced merged family,1.0
multi_actor_v2,multi_actor_v2_caltech_sce_cap20,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,20,8,1,1,4541,D_Severity0Full__F_ServiceFirst__G_PeakPenalty,multi_actor,86.88147295742232,114,869,86.88147295742232,114,869,34.8790841631077,2790.326733048616,99.0,30.595238095238095,3.23579766536965,3.23579766536965,0.30904280904280906,301058.0,72.0,19,0.0,0.0,6,0.0,0,0,"[13019, 0, 421, 0]",13019,421,0,0,0.9686755952380952,0.03132440476190476,0.0,0.25415676959619954,0.0,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",421,421,0,4415,370,4045,60,51,9,0,0,0,0,0,0,0,107,0,4045,168,Severity0Full,FleetServiceFirst,GridPeakPenalty,Seed20 multi-actor severity level 0 (full_compliance) with FleetServiceFirst and GridPeakPenalty; keep_probability=1.0.,805078.6063466643,54.89999999999992,2475.0,1.0,0.8761061946902655,0,0,0.0,0.0,True,True,True,service-tolerated,LeastLaxity,True,True,True,True,True,True,True,True,mutually_acceptable,all_pass,none,0.0,0.0,-2.0,1.0169008832743607,13380.398991037975,0.8761061946902655,-350.0,0.877299335422334,1.0,0.03791975805250142,0.9624277918615394,1.0,0.0,436.0,421.0,421.0,15.0,0.0,0.0,0.25415676959619954,0,full_compliance,ServiceFirst/Balanced merged family,0.9655963302752294
multi_actor_v2,multi_actor_v2_caltech_sce_cap20,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,20,8,1,1,4541,D_Severity0Full__F_ServiceGridWeighted__G_NoGrid,multi_actor,86.88147295742232,114,869,86.88147295742232,114,869,34.75878453708805,2780.702762967044,113.0,30.553571428571427,3.6984219754529515,3.6984219754529515,0.27038558786346395,312825.0,72.0,17,0.0,0.0,8,0.0,0,0,"[13020, 0, 420, 0]",13020,420,0,0,0.96875,0.03125,0.0,0.28809523809523807,0.0,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",420,420,0,4415,373,4042,67,47,20,0,0,0,0,0,0,0,121,0,4042,168,Severity0Full,FleetServiceGridWeighted,NoGridIncentive,Seed20 multi-actor severity level 0 (full_compliance) with FleetServiceGridWeighted and NoGridIncentive; keep_probability=1.0.,781154.8345189679,57.0,2825.0,0.9965509522710778,1.0,0,0,0.0,0.0,True,True,True,service-tolerated,LeastLaxity,True,True,True,True,True,True,True,True,mutually_acceptable,all_pass,none,0.0,0.0,0.0,0.9866825859415868,-10543.372836658382,1.0,0.0,1.002727449834405,1.0382513661202202,-0.000737463126843696,1.0000447554593668,1.0,0.0,420.0,420.0,420.0,0.0,0.0,0.0,0.28809523809523807,0,full_compliance,strong service-grid baseline,1.0
multi_actor_v2,multi_actor_v2_caltech_sce_cap20,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,20,8,1,1,4541,D_Severity0Full__F_ServiceGridWeighted__G_PeakPenalty,multi_actor,86.88147295742232,114,869,86.88147295742232,114,869,34.75878453708805,2780.702762967044,99.0,30.511904761904763,3.244635193133047,3.244635193133047,0.3082010582010582,301268.0,72.0,19,0.0,0.0,6,0.0,0,0,"[13021, 0, 419, 0]",13021,419,0,0,0.9688244047619048,0.03117559523809524,0.0,0.26014319809069214,0.0,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",419,419,0,4415,370,4045,69,49,20,0,0,0,0,0,0,0,109,0,4045,168,Severity0Full,FleetServiceGridWeighted,GridPeakPenalty,Seed20 multi-actor severity level 0 (full_compliance) with FleetServiceGridWeighted and GridPeakPenalty; keep_probability=1.0.,794535.233510006,57.0,2475.0,0.9965509522710778,0.8761061946902655,0,0,0.0,0.0,True,True,True,service-tolerated,LeastLaxity,True,True,True,True,True,True,True,True,mutually_acceptable,all_pass,none,0.0,0.0,-2.0,1.0035834692159475,2837.0261543797096,0.8761061946902655,-350.0,0.8796953929127578,1.0382513661202202,0.03707800721075055,0.963099123752042,1.0,0.0,433.0,419.0,419.0,14.0,0.0,0.0,0.26014319809069214,0,full_compliance,strong service-grid baseline,0.9676674364896074
multi_actor_v2,multi_actor_v2_caltech_sce_cap20,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,20,8,1,1,4541,D_Severity1Mild__F_ServiceFirst__G_NoGrid,multi_actor,87.11162255466053,112,869,87.11162255466053,112,869,34.2531730908578,2740.253847268624,113.0,34.232142857142854,3.3009911319770477,3.3009911319770477,0.30293931731984824,353595.0,72.0,19,60.0,3.75,9,0.02976190476190476,2,0,"[12985, 0, 394, 61]",12985,394,0,61,0.9661458333333334,0.02931547619047619,0.0,0.2967032967032967,0.0989010989010989,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",455,453,30,4416,381,4035,66,47,19,30,0,5,26,7,5,2,135,45,4008,168,Severity1Mild,FleetServiceFirst,NoGridIncentive,Seed20 multi-actor severity level 1 (mild_deviation) with FleetServiceFirst and NoGridIncentive; keep_probability=0.95.,774810.9296888509,57.0,2825.0,0.9820548306451252,1.0,30,5,0.23014959723820994,60.0,False,True,False,harmful by priority distortion,LeastLaxity,False,False,True,False,True,False,False,False,not_mutually_acceptable,driver_fleet_grid_fail,driver,30.0,0.02976190476190476,1.0,0.9786695517182222,-16887.277666775393,1.0,0.0,0.8949747869935665,1.0382513661202202,0.0318162663295406,1.1303790467726518,0.95,0.04880952380952381,412.0,412.0,455.0,0.0,5.0,0.0,0.2967032967032967,1,mild_deviation,ServiceFirst/Balanced merged family,1.104368932038835
multi_actor_v2,multi_actor_v2_caltech_sce_cap20,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,20,8,1,1,4541,D_Severity1Mild__F_ServiceFirst__G_PeakPenalty,multi_actor,87.68699654775605,107,869,87.68699654775605,107,869,34.35668726252796,2748.534981002237,106.0,33.11904761904762,3.2005751258087707,3.2005751258087707,0.3124438454627134,336874.0,72.0,22,60.0,8.25,7,0.06547619047619048,2,0,"[12981, 0, 384, 75]",12981,384,0,75,0.9658482142857143,0.02857142857142857,0.0,0.2570806100217865,0.10457516339869281,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",459,457,39,4415,381,4034,67,48,19,38,0,11,45,15,11,2,118,48,4004,168,Severity1Mild,FleetServiceFirst,GridPeakPenalty,Seed20 multi-actor severity level 1 (mild_deviation) with FleetServiceFirst and GridPeakPenalty; keep_probability=0.95.,804033.0016426767,57.0,2650.0,0.9850226313816953,0.9380530973451328,38,11,0.8055235903337348,60.0,False,True,False,harmful by priority distortion,LeastLaxity,False,False,True,False,True,True,True,False,not_mutually_acceptable,driver_fleet_fail,driver,39.0,0.06547619047619048,-1.0,1.015580172056029,12334.794287050376,0.9380530973451328,-175.0,0.8677496930329616,1.0382513661202202,0.041320794472405775,1.076925044196016,0.95,0.05081845238095238,422.0,408.0,459.0,14.0,11.0,0.0,0.2570806100217865,1,mild_deviation,ServiceFirst/Balanced merged family,1.0876777251184835
multi_actor_v2,multi_actor_v2_caltech_sce_cap20,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,20,8,1,1,4541,D_Severity1Mild__F_ServiceGridWeighted__G_NoGrid,multi_actor,86.53624856156502,117,869,86.53624856156502,117,869,34.44406039894097,2755.5248319152774,113.0,34.69047619047619,3.257378174330817,3.257378174330817,0.3069953645174884,366510.0,72.0,23,60.0,5.25,8,0.041666666666666664,3,0,"[12973, 0, 395, 72]",12973,395,0,72,0.9652529761904762,0.029389880952380952,0.0,0.291220556745182,0.11777301927194861,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",467,464,34,4415,390,4025,66,47,19,34,0,7,24,10,7,3,136,55,3995,168,Severity1Mild,FleetServiceGridWeighted,NoGridIncentive,Seed20 multi-actor severity level 1 (mild_deviation) with FleetServiceGridWeighted and NoGridIncentive; keep_probability=0.95.,766451.5360104562,57.0,2825.0,0.9875276609290429,1.0,34,7,-0.3452243958573007,60.0,False,True,False,harmful by priority distortion,LeastLaxity,False,False,True,False,True,False,False,False,not_mutually_acceptable,driver_fleet_grid_fail,driver,34.0,0.041666666666666664,0.0,0.9681107382704613,-25246.67134517012,1.0,0.0,0.8831503088538093,1.0382513661202202,0.03587231352718073,1.17166595803856,0.95,0.0478422619047619,409.0,409.0,467.0,0.0,7.0,0.0,0.291220556745182,1,mild_deviation,strong service-grid baseline,1.1418092909535453
multi_actor_v2,multi_actor_v2_caltech_sce_cap20,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,20,8,1,1,4541,D_Severity1Mild__F_ServiceGridWeighted__G_PeakPenalty,multi_actor,87.91714614499423,105,869,87.91714614499423,105,869,34.311851670930984,2744.948133674479,99.0,33.083333333333336,2.9924433249370277,2.9924433249370277,0.3341750841750842,328454.0,72.0,20,60.0,6.0,7,0.047619047619047616,2,0,"[12988, 0, 392, 60]",12988,392,0,60,0.9663690476190476,0.029166666666666667,0.0,0.2610619469026549,0.08628318584070796,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",452,450,36,4415,372,4043,69,50,19,36,0,8,36,10,8,2,118,39,4013,168,Severity1Mild,FleetServiceGridWeighted,GridPeakPenalty,Seed20 multi-actor severity level 1 (mild_deviation) with FleetServiceGridWeighted and GridPeakPenalty; keep_probability=0.95.,781205.0238159437,57.0,2475.0,0.9837371735586828,0.8761061946902655,36,8,1.0356731875719163,60.0,False,True,False,harmful by priority distortion,LeastLaxity,False,False,True,False,True,True,True,False,not_mutually_acceptable,driver_fleet_fail,driver,36.0,0.047619047619047616,-1.0,0.9867459804226018,-10493.183539682534,0.8761061946902655,-350.0,0.8113203641725075,1.0382513661202202,0.06305203318477653,1.0500078322053892,0.95,0.04962797619047619,421.0,407.0,452.0,14.0,8.0,0.0,0.2610619469026549,1,mild_deviation,strong service-grid baseline,1.0736342042755345
multi_actor_v2,multi_actor_v2_caltech_sce_cap20,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,20,8,1,1,4541,D_Severity2Moderate__F_ServiceFirst__G_NoGrid,multi_actor,88.37744533947065,101,869,88.37744533947065,101,869,33.86919283698578,2709.5354269588624,113.0,40.93452380952381,2.760506034608114,2.760506034608114,0.36225242309313105,456487.0,72.0,41,120.0,18.0,9,0.14285714285714285,6,0,"[12857, 0, 341, 242]",12857,341,0,242,0.9566220238095238,0.02537202380952381,0.0,0.2967409948542024,0.31217838765008576,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",583,577,158,4416,396,4020,58,47,11,157,0,24,124,41,24,6,173,182,3880,168,Severity2Moderate,FleetServiceFirst,NoGridIncentive,Seed20 multi-actor severity level 2 (moderate_deviation) with FleetServiceFirst and NoGridIncentive; keep_probability=0.8.,756428.3867485272,64.0,2825.0,0.9710459333909318,1.0,157,24,1.4959723820483362,120.0,False,False,False,harmful by priority distortion,LeastLaxity,False,False,True,False,True,False,False,False,not_mutually_acceptable,driver_fleet_grid_fail,driver,158.0,0.14285714285714285,1.0,0.9554504225481262,-35269.8206070991,1.0,0.0,0.7484368183801077,1.1657559198542822,0.0911293721028234,1.4593060985707025,0.7999999999999998,0.2002232142857143,396.0,396.0,583.0,0.0,24.0,0.0,0.2967409948542024,2,moderate_deviation,ServiceFirst/Balanced merged family,1.4722222222222223
multi_actor_v2,multi_actor_v2_caltech_sce_cap20,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,20,8,1,1,4541,D_Severity2Moderate__F_ServiceFirst__G_PeakPenalty,multi_actor,85.6156501726122,125,869,85.6156501726122,125,869,32.867844433410575,2629.427554672846,106.0,41.48809523809524,2.5549497847919653,2.5549497847919653,0.39139712488769096,442104.0,72.0,30,60.0,11.25,8,0.08928571428571429,8,0,"[12854, 0, 326, 260]",12854,326,0,260,0.9563988095238095,0.02425595238095238,0.0,0.2764505119453925,0.3310580204778157,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",586,578,162,4417,387,4030,57,44,13,162,0,15,61,26,15,8,162,194,3875,168,Severity2Moderate,FleetServiceFirst,GridPeakPenalty,Seed20 multi-actor severity level 2 (moderate_deviation) with FleetServiceFirst and GridPeakPenalty; keep_probability=0.8.,759186.6904669065,57.0,2650.0,0.9423367964510819,0.9380530973451328,162,15,-1.265822784810112,60.0,False,False,False,harmful by under-delivery,LeastLaxity,False,False,True,False,True,False,False,False,not_mutually_acceptable,driver_fleet_grid_fail,driver,162.0,0.08928571428571429,0.0,0.9589344568591202,-32511.51688871975,0.9380530973451328,-175.0,0.6927057807798276,1.0382513661202202,0.12027407389738332,1.4133262577083288,0.7999999999999998,0.2027529761904762,413.0,399.0,586.0,14.0,15.0,0.0,0.2764505119453925,2,moderate_deviation,ServiceFirst/Balanced merged family,1.4188861985472154
multi_actor_v2,multi_actor_v2_caltech_sce_cap20,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,20,8,1,1,4541,D_Severity2Moderate__F_ServiceGridWeighted__G_NoGrid,multi_actor,87.34177215189874,110,869,87.34177215189874,110,869,33.09605982954436,2647.6847863635485,113.0,41.42857142857143,2.7275862068965515,2.7275862068965515,0.3666245259165613,457592.0,72.0,32,60.0,12.0,9,0.09523809523809523,4,0,"[12884, 0, 339, 217]",12884,339,0,217,0.9586309523809524,0.025223214285714286,0.0,0.3237410071942446,0.29676258992805754,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",556,552,132,4416,390,4026,67,46,21,131,0,16,74,27,16,4,180,165,3906,168,Severity2Moderate,FleetServiceGridWeighted,NoGridIncentive,Seed20 multi-actor severity level 2 (moderate_deviation) with FleetServiceGridWeighted and NoGridIncentive; keep_probability=0.8.,750572.0281803883,64.0,2825.0,0.948879840846014,1.0,131,16,0.46029919447641987,60.0,False,False,False,harmful by under-delivery,LeastLaxity,False,False,True,False,True,False,False,False,not_mutually_acceptable,driver_fleet_grid_fail,driver,132.0,0.09523809523809523,1.0,0.9480532116996896,-41126.17917523801,1.0,0.0,0.7395114942528735,1.1657559198542822,0.09550147492625366,1.4628385830421564,0.7999999999999998,0.1984375,400.0,400.0,556.0,0.0,16.0,0.0,0.3237410071942446,2,moderate_deviation,strong service-grid baseline,1.39
multi_actor_v2,multi_actor_v2_caltech_sce_cap20,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,20,8,1,1,4541,D_Severity2Moderate__F_ServiceGridWeighted__G_PeakPenalty,multi_actor,86.30609896432682,119,869,86.30609896432682,119,869,32.636838645178806,2610.9470916143046,106.0,40.45238095238095,2.6203649205414954,2.6203649205414954,0.38162623539982027,436134.0,72.0,37,60.0,12.75,8,0.10119047619047619,9,0,"[12884, 0, 313, 243]",12884,313,0,243,0.9586309523809524,0.023288690476190477,0.0,0.28597122302158273,0.302158273381295,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",556,547,138,4415,381,4034,66,45,21,137,0,17,81,27,17,9,159,168,3905,168,Severity2Moderate,FleetServiceGridWeighted,GridPeakPenalty,Seed20 multi-actor severity level 2 (moderate_deviation) with FleetServiceGridWeighted and GridPeakPenalty; keep_probability=0.8.,743459.4517635931,64.0,2650.0,0.935713750182106,0.9380530973451328,137,17,-0.5753739930954964,60.0,False,False,False,harmful by under-delivery,LeastLaxity,False,False,True,False,True,False,False,False,not_mutually_acceptable,driver_fleet_grid_fail,driver,138.0,0.10119047619047619,0.0,0.9390692625752473,-48238.75559203315,0.9380530973451328,-175.0,0.7104413319651853,1.1657559198542822,0.11050318440951262,1.3942412511068984,0.7999999999999998,0.1974702380952381,406.0,393.0,556.0,13.0,17.0,0.0,0.28597122302158273,2,moderate_deviation,strong service-grid baseline,1.3694581280788178
multi_actor_v2,multi_actor_v2_caltech_sce_cap20,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,20,8,1,1,4541,D_Severity3Severe__F_ServiceFirst__G_NoGrid,multi_actor,87.80207134637514,106,869,87.80207134637514,106,869,33.188618265571584,2655.089461245727,113.0,58.36904761904762,1.9359575769936772,1.9359575769936772,0.5165402444163506,740186.0,72.0,72,120.0,22.5,9,0.17857142857142858,6,0,"[12629, 0, 270, 541]",12629,270,0,541,0.9396577380952381,0.020089285714285716,0.0,0.3477188655980271,0.5228113440197287,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",811,805,382,4415,397,4018,63,47,16,346,0,28,182,76,30,6,282,424,3693,168,Severity3Severe,FleetServiceFirst,NoGridIncentive,Seed20 multi-actor severity level 3 (severe_deviation) with FleetServiceFirst and NoGridIncentive; keep_probability=0.55.,753647.0179755215,64.0,2825.0,0.9515335354096208,1.0,346,30,0.9205983889528255,120.0,False,False,False,harmful by priority distortion,LeastLaxity,False,False,True,False,True,False,False,False,not_mutually_acceptable,driver_fleet_grid_fail,driver,382.0,0.17857142857142858,1.0,0.9519372545919983,-38051.18938010477,1.0,0.0,0.5248827248623291,1.1657559198542822,0.24541719342604296,2.3662403176358886,0.5499999999999999,0.4557291666666667,388.0,388.0,811.0,0.0,28.0,0.0,0.3477188655980271,3,severe_deviation,ServiceFirst/Balanced merged family,2.0902061855670104
multi_actor_v2,multi_actor_v2_caltech_sce_cap20,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,20,8,1,1,4541,D_Severity3Severe__F_ServiceFirst__G_PeakPenalty,multi_actor,87.22669735327963,111,869,87.22669735327963,111,869,32.71611826557158,2617.2894612457267,113.0,57.06547619047619,1.9801814957755295,1.9801814957755295,0.5050042140750105,719219.0,72.0,69,120.0,26.25,9,0.20833333333333334,8,0,"[12645, 0, 268, 527]",12645,268,0,527,0.9408482142857143,0.01994047619047619,0.0,0.34968553459119495,0.519496855345912,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",795,786,375,4416,391,4025,64,43,21,335,0,34,205,99,35,8,278,413,3712,168,Severity3Severe,FleetServiceFirst,GridPeakPenalty,Seed20 multi-actor severity level 3 (severe_deviation) with FleetServiceFirst and GridPeakPenalty; keep_probability=0.55.,742763.1916776968,71.0,2825.0,0.9379867347599703,1.0,335,35,0.3452243958573149,120.0,False,False,False,harmful by under-delivery,LeastLaxity,False,False,True,False,True,False,False,False,not_mutually_acceptable,driver_fleet_grid_fail,driver,375.0,0.20833333333333334,1.0,0.9381898111890656,-48935.01567792951,1.0,0.0,0.5368728486492126,1.2932604735883444,0.23388116308470286,2.299212623596996,0.5499999999999999,0.44836309523809526,390.0,377.0,795.0,13.0,34.0,0.0,0.34968553459119495,3,severe_deviation,ServiceFirst/Balanced merged family,2.0384615384615383
multi_actor_v2,multi_actor_v2_caltech_sce_cap20,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,20,8,1,1,4541,D_Severity3Severe__F_ServiceGridWeighted__G_NoGrid,multi_actor,86.88147295742232,114,869,86.88147295742232,114,869,32.37064840915021,2589.651872732017,113.0,55.541666666666664,2.0345086271567894,2.0345086271567894,0.4915191740412979,678083.0,72.0,61,120.0,21.0,9,0.16666666666666666,8,0,"[12658, 0, 274, 508]",12658,274,0,508,0.9418154761904762,0.020386904761904762,0.0,0.34782608695652173,0.520460358056266,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",782,774,361,4415,388,4027,74,44,30,322,0,27,160,75,28,8,272,407,3723,168,Severity3Severe,FleetServiceGridWeighted,NoGridIncentive,Seed20 multi-actor severity level 3 (severe_deviation) with FleetServiceGridWeighted and NoGridIncentive; keep_probability=0.55.,734168.3716858933,64.0,2825.0,0.9280819489919203,1.0,322,28,0.0,120.0,False,False,False,harmful by under-delivery,LeastLaxity,False,False,True,False,True,False,False,False,not_mutually_acceptable,driver_fleet_grid_fail,driver,361.0,0.16666666666666666,1.0,0.9273336289823239,-57529.835669733,1.0,0.0,0.551602186260851,1.1657559198542822,0.22039612305099027,2.167708296703121,0.5499999999999999,0.4454613095238095,385.0,385.0,782.0,0.0,27.0,0.0,0.34782608695652173,3,severe_deviation,strong service-grid baseline,2.031168831168831
multi_actor_v2,multi_actor_v2_caltech_sce_cap20,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,20,8,1,1,4541,D_Severity3Severe__F_ServiceGridWeighted__G_PeakPenalty,multi_actor,86.30609896432682,119,869,86.30609896432682,119,869,32.54084480879102,2603.267584703282,113.0,55.660714285714285,2.0301572024382417,2.0301572024382417,0.49257269279393173,695743.0,72.0,65,120.0,21.75,8,0.17261904761904762,9,0,"[12647, 0, 258, 535]",12647,258,0,535,0.9409970238095238,0.019196428571428573,0.0,0.3480453972257251,0.5170239596469105,"Operational multi-actor scenario; not causal human behavior, global optimization, filed tariff billing, or site-specific feeder validation.",793,783,369,4416,393,4023,80,42,38,333,0,28,157,83,29,9,276,410,3706,168,Severity3Severe,FleetServiceGridWeighted,GridPeakPenalty,Seed20 multi-actor severity level 3 (severe_deviation) with FleetServiceGridWeighted and GridPeakPenalty; keep_probability=0.55.,734676.253702354,64.0,2825.0,0.9329615610495335,1.0,333,29,-0.5753739930954964,120.0,False,False,False,harmful by under-delivery,LeastLaxity,False,False,True,False,True,False,False,False,not_mutually_acceptable,driver_fleet_grid_fail,driver,369.0,0.17261904761904762,0.0,0.9279751386027096,-57021.95365327224,1.0,0.0,0.5504224147150037,1.1657559198542822,0.2214496418036241,2.224164111875861,0.5499999999999999,0.4549107142857143,407.0,393.0,793.0,14.0,28.0,0.0,0.3480453972257251,3,severe_deviation,strong service-grid baseline,1.9484029484029484
multi_actor_v2,multi_actor_v2_caltech_sce_cap20,metro_caltech_sce,campus/workplace,multi-actor compact weekly matrix,20,8,1,1,4542,LeastLaxity,anchor,90.8466819221968,80,874,90.8466819221968,80,874,42.26064229419534,3380.8513835356275,113.0,40.73809523809524,2.7738164815897135,2.7738164815897135,0.36051411715128534,450252.0,72.0,26,0.0,0.0,8,0.0,0,0,"[12923, 0, 517, 0]",12923,517,0,0,0.9615327380952381,0.03846726190476191,0.0,0.2804642166344294,0.0,"Behavior Applied Energy package v1; behavior proxies are imposed perturbations, not measured traits.",517,517,0,5154,462,4692,69,55,14,0,0,0,0,0,0,0,145,0,4692,168,FullyCompliant,FleetServiceFirst,NoGridIncentive,LeastLaxity anchor used for paired thresholds.,943202.4276353266,57.0,2825.0,1.0,1.0,0,0,0.0,0.0,True,True,True,anchor,LeastLaxity,True,True,True,True,True,True,True,True,mutually_acceptable,all_pass,none,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,,,,comparator,ServiceFirst/Balanced merged family,
